  7.3363955e-001	  5.0041500e-004	  2.0953195e+000	  1.7173500e-005	  4.7001558e-001	  4.3234253e-007	  5.2819159e-002	  4.4149170e-006	
  8.7844617e+000	  5.0000000e-004	  9.1693311e+000	  1.7165100e-005	  1.8156339e+000	  4.3740845e-007	  7.8191279e-001	  4.4351807e-006	
  1.8201634e+001	  5.0041500e-004	  1.7019794e+001	  1.7158900e-005	  3.5130991e+000	  4.3615723e-007	  1.8451699e+000	  4.4656982e-006	
  2.8064146e+001	  5.0000000e-004	  2.5929343e+001	  1.7160700e-005	  5.5538756e+000	  4.3997192e-007	  3.1425530e+000	  4.4656982e-006	
  3.9282143e+001	  5.0021000e-004	  3.5463089e+001	  1.7168100e-005	  7.8521896e+000	  4.3615723e-007	  4.7323802e+000	  4.4656982e-006	
  5.0728967e+001	  5.0000000e-004	  4.5368572e+001	  1.7173900e-005	  1.0446685e+001	  4.3487549e-007	  6.4905472e+000	  4.4403076e-006	
  6.2774543e+001	  5.0000000e-004	  5.6283417e+001	  1.7173700e-005	  1.3380091e+001	  4.3234253e-007	  8.4798982e+000	  4.3996582e-006	
  7.5775231e+001	  5.0021000e-004	  6.7483168e+001	  1.7169300e-005	  1.6480578e+001	  4.3740845e-007	  1.0717361e+001	  4.3996582e-006	
  8.9035387e+001	  5.0041500e-004	  7.9262466e+001	  1.7163400e-005	  1.9967026e+001	  4.3106079e-007	  1.3156584e+001	  4.4046631e-006	
  1.0317542e+002	  5.0041500e-004	  9.1788348e+001	  1.7156400e-005	  2.3704592e+001	  4.3615723e-007	  1.5843861e+001	  4.3996582e-006	
  1.1766696e+002	  5.0000000e-004	  1.0461158e+002	  1.7150100e-005	  2.7673199e+001	  4.3487549e-007	  1.8749565e+001	  4.4097900e-006	
  1.3285635e+002	  5.0000000e-004	  1.1818867e+002	  1.7148700e-005	  3.2113701e+001	  4.3615723e-007	  2.1902838e+001	  4.4097900e-006	
  1.4900626e+002	  5.0021000e-004	  1.3210255e+002	  1.7157500e-005	  3.6706975e+001	  4.3740845e-007	  2.5368758e+001	  4.3843994e-006	
  1.6508585e+002	  5.0041500e-004	  1.4665928e+002	  1.7178200e-005	  4.1641219e+001	  4.3615723e-007	  2.8962417e+001	  4.3691406e-006	
  1.8233234e+002	  5.0000000e-004	  1.6207401e+002	  1.7211100e-005	  4.6955616e+001	  4.3359375e-007	  3.8316906e+001	  4.3843994e-006	
  2.0008811e+002	  5.0104000e-004	  1.7746539e+002	  1.7259500e-005	  5.2539069e+001	  4.3234253e-007	  4.2732344e+001	  4.3843994e-006	
  2.1801791e+002	  5.0104000e-004	  1.9391490e+002	  1.7317800e-005	  5.8495398e+001	  4.3740845e-007	  4.7616229e+001	  4.3741455e-006	
