var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43
0.0501587177,0.0440133696,0.0456376219,0.0277126366,0.0388033961,0.0377702756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0557277282,0.0502971407,0.0549397379,0.0445140057,0.042052567,0.0473329327,0.04235109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0563168237,0.0564528025,0.0560185592,0.0436381988,0.0428048184,0.0434069632,0.0358582543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0578956578,0.0603907117,0.0558270622,0.0516518827,0.0471425798,0.0479357681,0.0355100199,0.0446680026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0611280064,0.0567227006,0.0528304818,0.0495030367,0.0497015876,0.0391697223,0.0453618809,0.0323671714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0646269946,0.0555660215,0.0495486308,0.0552935607,0.0496332352,0.0421937658,0.0451412873,0.0471995909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0590618611,0.0589155706,0.0499860137,0.050378348,0.0491119894,0.0504575283,0.0431256239,0.0438049913,0.049931093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0559757853,0.0660293676,0.0556007852,0.0588780458,0.0522296197,0.0525367945,0.0386880686,0.0365642866,0.0589527833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0583702324,0.067963447,0.0577361095,0.0579732053,0.0573628949,0.0507443681,0.0390934859,0.0403275595,0.0502945967,0.0245015514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0634096369,0.0602953187,0.0508796676,0.0584929687,0.057640401,0.0448067606,0.0416514901,0.0456482052,0.0468425661,0.0545502867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0674126426,0.056209567,0.0510309638,0.0547077676,0.0610464476,0.0554027639,0.0541192831,0.054680108,0.0606951164,0.0706786045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0673227177,0.0620601817,0.0571405673,0.0547548701,0.0637312021,0.0599515739,0.0588470439,0.0637376231,0.0686863037,0.0625348326,0.0139967437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0589114857,0.0668967562,0.0558293486,0.0562990956,0.0667180844,0.0704652662,0.0646008157,0.0646380801,0.0676590453,0.0569081507,0.0294184368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0528925658,0.0611154359,0.0534680214,0.0609302166,0.0705268693,0.0622212753,0.067077426,0.0590640892,0.06106148,0.0562874301,0.0404584855,0.0292439791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.051881595,0.0513449954,0.0527008856,0.0623956549,0.0699801815,0.0626034668,0.066590736,0.0591357925,0.0643573733,0.05634664,0.0484010664,0.040677694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0663876591,0.0531357412,0.0583800966,0.0644520898,0.0684523063,0.0673844895,0.0651546433,0.0669651225,0.0644517653,0.0615057411,0.0580383576,0.052297609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0803301703,0.0627155332,0.0619093514,0.0701835522,0.0641205448,0.0706369838,0.0647910988,0.068028215,0.0590713964,0.0638058236,0.0590417942,0.0418022199,0.0055269889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0768564868,0.0616720566,0.0628292006,0.0605764529,0.0643854685,0.065682139,0.0664957215,0.0687015867,0.0598453467,0.0646563757,0.0555469515,0.0349462058,0.0200649617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0741858247,0.0534773562,0.0596201189,0.0442893049,0.0650514074,0.0615251244,0.059787564,0.068701674,0.0644347948,0.0632143332,0.0509164109,0.0291124327,0.0268235824,0.0115351458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0785179369,0.051418373,0.0557037569,0.0408063075,0.0672250741,0.0687261166,0.0652760433,0.0670784917,0.0654799971,0.058692632,0.0542859927,0.0360535676,0.0330990902,0.0219514599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0826119147,0.0550722078,0.0548744511,0.0446145775,0.0626287678,0.0651708364,0.0658062292,0.0679586974,0.0611564111,0.0557732948,0.0541562662,0.0404602404,0.0200137963,0.0285202827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0707044531,0.0578219142,0.0517448641,0.0445398677,0.0561263157,0.0623239807,0.0700730926,0.0683888636,0.0569313856,0.0593683133,0.0503311176,0.043084388,0.0297132389,0.0207604357,0.0255796131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0623780218,0.0579666009,0.0474019149,0.047503437,0.0521767974,0.0516820406,0.0619830556,0.0608576838,0.0580746413,0.0641756299,0.04994511,0.044752372,0.0336530686,0.0146478914,0.0216525711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0720331454,0.0557607949,0.0433852668,0.0530307049,0.0552524727,0.0530225331,0.0625900437,0.0553848909,0.0617346076,0.0635215799,0.0532772832,0.0419855976,0.033006489,0.0251738493,0.0296646713,0.0085122799,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0744800911,0.0508636549,0.0464507588,0.0555066763,0.0570174927,0.0495754204,0.0570243962,0.0573752427,0.0578002182,0.0567965133,0.0520043976,0.0435039367,0.0246961441,0.0268226186,0.0257145849,0.0164466476,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0796832424,0.0521686675,0.0499512225,0.051738379,0.0532086697,0.0470661643,0.0571716472,0.0622994055,0.0586762381,0.051267577,0.0478818842,0.0440799631,0.026232979,0.0310187107,0.0308795105,0.0186121109,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.074168323,0.0624525505,0.049235496,0.0481146124,0.0506905841,0.0450708764,0.0551255374,0.0615055072,0.0539910432,0.0500898353,0.0510421564,0.0457408066,0.0320309745,0.0257559038,0.0157601488,0.0157677434,0.0171315961,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0724458216,0.0605840048,0.0440701774,0.0426032797,0.0523233978,0.0542311498,0.0520029302,0.0595028154,0.0555429183,0.0498076442,0.050993686,0.0408417688,0.0342959519,0.025786808,0.0204375952,0.0216555655,0.0064456759,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0730353891,0.0587360554,0.0491052881,0.0442891971,0.0514333073,0.0573953425,0.0454462604,0.0557618526,0.0511468613,0.0515608778,0.050704876,0.0373310685,0.0369192228,0.0274990435,0.0251257409,0.027261813,0.0085673081,0.00598868,,,,,,,,,,,,,,,,,,,,,,,,,
0.0709764536,0.0610666358,0.0539073361,0.0435231539,0.0434817736,0.055197642,0.0451916516,0.0495183773,0.0524998837,0.0522279764,0.0493942545,0.0355621533,0.0371198091,0.031807828,0.0291603194,0.0244068809,0.0228559368,0.0095122319,,,,,,,,,,,,,,,,,,,,,,,,,
0.0720516934,0.0657244039,0.0501376759,0.040322517,0.0427667629,0.0436316656,0.0477634278,0.0475813103,0.0460813942,0.0484488319,0.0491756101,0.039491571,0.0350781718,0.0310437763,0.0263319498,0.0170651056,0.0410374822,0.0113783368,,,,,,,,,,,,,,,,,,,,,,,,,
0.0703670524,0.0641109927,0.0523355072,0.0432923597,0.0477411885,0.0456095346,0.0498236647,0.0477571986,0.0422703486,0.0437274944,0.0421106585,0.042699191,0.0319956315,0.0274352184,0.0234408419,0.0174724766,0.0301708671,0.008463851,0.0122295587,,,,,,,,,,,,,,,,,,,,,,,,
0.083671621,0.0617367295,0.0572199269,0.0447653343,0.0517641844,0.0469486156,0.0445557067,0.04728645,0.040785617,0.0476644478,0.0376782033,0.0419518006,0.0344892595,0.0273956818,0.028579912,0.0195028994,0.0177773997,0.0197362874,0.0179916636,,,,,,,,,,,,,,,,,,,,,,,,
0.0915947223,0.0692040672,0.058205392,0.0510786328,0.0480048792,0.0496479678,0.0424874764,0.0430219601,0.044442022,0.0471178108,0.0358696251,0.0381826593,0.0339387459,0.0339931877,0.0370939766,0.0259416397,0.0162372266,0.0442414265,0.0156440203,0.0050377945,,,,,,,,,,,,,,,,,,,,,,,
0.0882942472,0.0656580427,0.0493956179,0.0524250827,0.0467637866,0.0446284998,0.0399723232,0.0448107105,0.0479298394,0.0446084494,0.0395935785,0.0369600581,0.0359580833,0.0356779201,0.0379148664,0.0313194263,0.0252777139,0.0430885865,0.0172593097,0.0127716219,,,,,,,,,,,,,,,,,,,,,,,
0.079586721,0.0621554889,0.048546801,0.0518461987,0.0461182401,0.0501440794,0.038586669,0.0453107558,0.0473850323,0.0425279171,0.0413259865,0.0364237509,0.036070422,0.0361361549,0.0357097363,0.0311570296,0.0244939559,0.0236450501,0.0166170174,0.0131551429,,,,,,,,,,,,,,,,,,,,,,,
