   1.0585281e+00	   7.5890650e-01	   2.7177068e-01	
   8.8450697e-01	   9.0270139e-01	   8.5138827e-02	
   1.1629319e+00	   7.5853162e-01	   1.6954587e+00	
   1.2286260e+00	   6.6040875e-01	   1.7422159e-01	
   9.6993947e-01	   1.0284655e+00	   2.9456407e-01	
   1.0358970e+00	   1.0193093e+00	   1.8652039e-01	
   1.0129423e+00	   7.8048680e-01	   6.4509899e-02	
   1.1035133e+00	   7.6112149e-01	   1.5665129e+00	
   1.0142002e+00	   7.8099708e-01	   2.7903948e-01	
   1.0227439e+00	   7.0121425e-01	   4.9626006e-02	
   1.1232470e+00	   1.7083436e+00	   7.5793170e-02	
   1.1121102e+00	   7.0386245e-01	   3.3151447e-02	
   1.1011445e+00	   7.5878150e-01	   3.2768929e-02	
   9.9731127e-01	   9.5426131e-01	   1.1607078e-01	
