36.26	40.25	11.12	12.38	36.26	33.51	11.40	18.84	36.26	43.96	16.36	3.41	36.26	27.79	3.77	32.18
39.82	39.75	13.08	7.35	39.82	27.44	15.21	17.53	39.82	43.67	13.83	2.68	39.82	27.09	5.72	27.37
46.93	31.73	11.18	10.16	46.93	27.83	12.78	12.46	46.93	35.90	13.98	3.18	46.93	9.92	4.83	38.32
40.54	42.84	12.45	4.16	40.54	40.02	13.56	5.87	40.54	45.71	11.76	1.99	40.54	30.26	11.27	17.93
48.34	28.62	7.53	15.51	48.34	21.67	7.92	22.07	48.34	34.51	13.37	3.78	48.34	19.68	1.24	30.73
60.65	26.36	10.33	2.65	60.65	22.71	10.62	6.02	60.65	28.66	9.14	1.55	60.65	18.97	8.32	12.06
45.66	29.87	9.91	14.57	45.66	23.66	12.37	18.31	45.66	36.89	13.95	3.51	45.66	22.21	6.56	25.58
47.58	33.88	15.92	2.62	47.58	33.19	15.82	3.41	47.58	36.85	13.90	1.67	47.58	19.30	9.37	23.74
