[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.131906	0.099917	0.011750	-0.010417	3.255352	0.257909	0.212485	0.227123	0.202765	0.216916	0.203131	0.210108	0.193992	0.210407	0.208805	0.208041	0.201782	0.201080	0.194392	0.203953	0.203898	0.196447	0.227016	0.301158	0.338937	0.080062	0.181819	0.029028
0.146377	0.099875	0.011833	-0.010417	3.256022	0.257768	0.212720	0.227390	0.202848	0.216970	0.203114	0.210108	0.193991	0.210413	0.208803	0.208045	0.201780	0.201079	0.194389	0.203952	0.203897	0.196448	0.227029	0.301162	0.338945	0.080066	0.181823	0.029047
0.160758	0.099875	0.011667	-0.010500	3.257249	0.257617	0.213043	0.227576	0.202893	0.217054	0.203103	0.210107	0.193994	0.210418	0.208804	0.208050	0.201779	0.201077	0.194384	0.203953	0.203893	0.196448	0.227035	0.301162	0.338943	0.080071	0.181825	0.029072
0.175504	0.099792	0.011792	-0.010333	3.256904	0.257784	0.213048	0.227673	0.202800	0.217130	0.203097	0.210111	0.193995	0.210422	0.208808	0.208050	0.201781	0.201075	0.194382	0.203951	0.203892	0.196446	0.227041	0.301150	0.338932	0.080075	0.181824	0.029109
0.189992	0.099875	0.011792	-0.010750	3.256327	0.257985	0.213002	0.227675	0.202726	0.217141	0.203099	0.210119	0.193998	0.210425	0.208816	0.208049	0.201786	0.201074	0.194384	0.203951	0.203892	0.196444	0.227044	0.301141	0.338912	0.080078	0.181821	0.029150
0.204587	0.099875	0.011792	-0.010417	3.256122	0.258393	0.213104	0.227791	0.202683	0.217164	0.203123	0.210126	0.194004	0.210428	0.208823	0.208054	0.201792	0.201080	0.194391	0.203955	0.203899	0.196446	0.227053	0.301154	0.338919	0.080079	0.181817	0.029191
0.219094	0.099833	0.011667	-0.010333	3.256765	0.258627	0.213462	0.227840	0.202679	0.217198	0.203149	0.210123	0.194006	0.210431	0.208823	0.208054	0.201794	0.201086	0.194395	0.203957	0.203903	0.196448	0.227054	0.301196	0.338946	0.080082	0.181812	0.029229
0.233569	0.099833	0.011708	-0.010417	3.256632	0.258778	0.213716	0.227966	0.202713	0.217219	0.203163	0.210116	0.194002	0.210433	0.208820	0.208049	0.201792	0.201084	0.194395	0.203956	0.203902	0.196451	0.227050	0.301211	0.338962	0.080085	0.181806	0.029264
0.248388	0.099958	0.011833	-0.010583	3.255428	0.258616	0.213701	0.227949	0.202753	0.217203	0.203152	0.210111	0.193997	0.210431	0.208817	0.208044	0.201788	0.201079	0.194391	0.203952	0.203900	0.196450	0.227041	0.301206	0.338951	0.080089	0.181800	0.029298
0.262677	0.099792	0.011958	-0.010500	3.254647	0.258621	0.213612	0.228008	0.202782	0.217204	0.203150	0.210121	0.193998	0.210430	0.208819	0.208041	0.201786	0.201078	0.194389	0.203951	0.203900	0.196451	0.227045	0.301244	0.338974	0.080092	0.181794	0.029326
