[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.095737	0.098708	0.011250	0.019167	3.222315	0.255033	0.213119	0.227885	0.202742	0.217112	0.203090	0.210114	0.194003	0.210380	0.208776	0.208017	0.201778	0.201043	0.194386	0.203925	0.203843	0.196378	0.225665	0.303995	0.335602	0.079389	0.177042	0.034961
0.110102	0.098583	0.010833	0.019333	3.221990	0.254882	0.212857	0.227710	0.202734	0.217104	0.203100	0.210122	0.194004	0.210385	0.208778	0.208015	0.201776	0.201043	0.194384	0.203924	0.203843	0.196376	0.225656	0.303987	0.335557	0.079391	0.177043	0.034969
0.124825	0.098583	0.010917	0.019375	3.221978	0.254954	0.212666	0.227627	0.202748	0.217134	0.203116	0.210141	0.194007	0.210398	0.208783	0.208014	0.201775	0.201041	0.194384	0.203923	0.203844	0.196373	0.225647	0.303988	0.335552	0.079393	0.177043	0.034976
0.139323	0.098500	0.010833	0.019500	3.222218	0.255026	0.212548	0.227658	0.202757	0.217193	0.203132	0.210157	0.194011	0.210408	0.208786	0.208017	0.201778	0.201038	0.194388	0.203924	0.203849	0.196376	0.225644	0.304024	0.335602	0.079396	0.177045	0.034977
0.153879	0.098500	0.011083	0.019625	3.222620	0.254972	0.212501	0.227738	0.202735	0.217251	0.203140	0.210163	0.194017	0.210410	0.208786	0.208019	0.201780	0.201035	0.194389	0.203924	0.203855	0.196380	0.225644	0.304055	0.335628	0.079398	0.177047	0.034973
0.168473	0.098667	0.011208	0.019542	3.223164	0.255079	0.212577	0.227822	0.202691	0.217287	0.203149	0.210169	0.194026	0.210410	0.208788	0.208024	0.201782	0.201035	0.194391	0.203929	0.203863	0.196387	0.225649	0.304087	0.335660	0.079398	0.177049	0.034966
0.182871	0.098708	0.010833	0.019583	3.223608	0.255235	0.212586	0.227852	0.202667	0.217283	0.203152	0.210163	0.194028	0.210410	0.208789	0.208029	0.201782	0.201036	0.194392	0.203932	0.203868	0.196394	0.225655	0.304112	0.335660	0.079396	0.177053	0.034959
0.197725	0.098667	0.011167	0.019542	3.223837	0.255113	0.212523	0.227791	0.202646	0.217265	0.203155	0.210151	0.194023	0.210409	0.208790	0.208028	0.201779	0.201037	0.194391	0.203934	0.203871	0.196393	0.225655	0.304132	0.335661	0.079394	0.177057	0.034952
0.212023	0.098708	0.011083	0.019375	3.223330	0.254810	0.212313	0.227649	0.202629	0.217246	0.203155	0.210140	0.194018	0.210408	0.208791	0.208025	0.201778	0.201037	0.194389	0.203934	0.203871	0.196387	0.225649	0.304113	0.335639	0.079393	0.177062	0.034946
0.226712	0.098792	0.011000	0.019500	3.222620	0.254636	0.212303	0.227568	0.202615	0.217255	0.203155	0.210134	0.194017	0.210406	0.208794	0.208022	0.201780	0.201038	0.194389	0.203937	0.203874	0.196383	0.225645	0.304086	0.335627	0.079394	0.177068	0.034937
0.241373	0.098667	0.011250	0.019417	3.222130	0.254778	0.212433	0.227587	0.202627	0.217329	0.203163	0.210135	0.194018	0.210413	0.208800	0.208025	0.201783	0.201038	0.194391	0.203939	0.203877	0.196389	0.225644	0.304067	0.335637	0.079396	0.177076	0.034923
