[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.166186	0.078250	0.014333	0.017817	5.213107	0.277542	0.214953	0.232905	0.203475	0.219922	0.204458	0.211716	0.195372	0.211757	0.209695	0.208958	0.202755	0.202112	0.195769	0.205454	0.205544	0.199573	0.234724	0.333455	0.420555	0.082481	0.176056	-0.007560	2.059968	10.536901	35.000500	97.745934
0.202469	0.077033	0.014500	0.017817	5.213672	0.277373	0.214918	0.232894	0.203473	0.219917	0.204455	0.211713	0.195374	0.211763	0.209699	0.208958	0.202757	0.202115	0.195768	0.205455	0.205539	0.199558	0.234703	0.333346	0.420570	0.082481	0.175449	-0.005641	2.059966	11.147501	35.000000	97.737793
0.238998	0.075983	0.014467	0.017850	5.212125	0.277374	0.214924	0.232908	0.203476	0.219920	0.204458	0.211715	0.195376	0.211766	0.209704	0.208957	0.202762	0.202117	0.195769	0.205461	0.205536	0.199558	0.234704	0.333270	0.420526	0.082479	0.174860	-0.002327	2.059966	11.641800	35.000000	97.725609
0.275294	0.075533	0.014383	0.017833	5.209977	0.277352	0.214880	0.232962	0.203471	0.219927	0.204456	0.211716	0.195374	0.211770	0.209703	0.208957	0.202762	0.202119	0.195771	0.205461	0.205536	0.199556	0.234715	0.333228	0.420481	0.082483	0.174341	0.001627	2.059965	12.033600	34.997501	97.723572
0.311746	0.075233	0.014300	0.017683	5.208807	0.277424	0.214883	0.232950	0.203472	0.219942	0.204457	0.211723	0.195375	0.211774	0.209703	0.208958	0.202765	0.202122	0.195777	0.205463	0.205538	0.199564	0.234749	0.333196	0.420377	0.082487	0.173881	0.005782	2.059965	12.362900	34.997002	97.760155
0.348108	0.074867	0.014333	0.017800	5.205364	0.277477	0.214873	0.232933	0.203494	0.219944	0.204460	0.211730	0.195376	0.211774	0.209702	0.208958	0.202764	0.202128	0.195779	0.205466	0.205535	0.199568	0.234770	0.333151	0.420252	0.082491	0.173483	0.009599	2.059966	12.617699	34.996498	97.725601
0.384560	0.074783	0.014450	0.017650	5.200734	0.277644	0.214893	0.232915	0.203504	0.219950	0.204467	0.211726	0.195377	0.211774	0.209700	0.208961	0.202765	0.202132	0.195780	0.205468	0.205529	0.199568	0.234807	0.333101	0.420070	0.082494	0.173155	0.012917	2.059965	12.827401	35.000000	97.733727
0.420973	0.074633	0.014383	0.017817	5.197366	0.277535	0.214841	0.232842	0.203492	0.219935	0.204465	0.211719	0.195379	0.211774	0.209699	0.208961	0.202764	0.202134	0.195782	0.205466	0.205525	0.199559	0.234829	0.333022	0.419937	0.082495	0.172894	0.015635	2.059965	13.013100	35.000000	97.764221
0.457307	0.074450	0.014400	0.017750	5.197007	0.277629	0.214929	0.232862	0.203505	0.219945	0.204466	0.211719	0.195379	0.211781	0.209700	0.208964	0.202764	0.202134	0.195783	0.205467	0.205525	0.199560	0.234835	0.333026	0.419933	0.082497	0.172683	0.017801	2.059963	13.149199	35.000000	97.737785
0.493734	0.074117	0.014417	0.017717	5.197669	0.278427	0.215371	0.233141	0.203646	0.220007	0.204490	0.211731	0.195386	0.211788	0.209707	0.208970	0.202770	0.202139	0.195789	0.205478	0.205535	0.199599	0.234863	0.333055	0.420010	0.082497	0.172498	0.019560	2.059965	13.261201	35.000000	97.747948
