[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.094744	0.096625	0.015000	0.092667	3.745698	0.242880	0.207952	0.220619	0.201241	0.215780	0.202836	0.209852	0.193929	0.210277	0.208682	0.207962	0.201700	0.200984	0.194357	0.203894	0.203815	0.196371	0.223950	0.309277	0.316246	0.083212	0.076515	0.036724
0.109208	0.096625	0.014833	0.092792	3.745845	0.242884	0.207952	0.220619	0.201242	0.215779	0.202836	0.209854	0.193930	0.210276	0.208682	0.207961	0.201700	0.200985	0.194355	0.203893	0.203816	0.196370	0.223950	0.309282	0.316248	0.083215	0.076515	0.036716
0.123702	0.096625	0.014958	0.093167	3.745971	0.242890	0.207951	0.220620	0.201242	0.215778	0.202836	0.209855	0.193931	0.210276	0.208682	0.207961	0.201700	0.200985	0.194354	0.203893	0.203817	0.196369	0.223950	0.309286	0.316249	0.083218	0.076516	0.036706
0.138325	0.096750	0.014875	0.093250	3.746026	0.242893	0.207950	0.220623	0.201241	0.215777	0.202836	0.209857	0.193933	0.210277	0.208682	0.207961	0.201700	0.200987	0.194353	0.203895	0.203817	0.196370	0.223952	0.309286	0.316247	0.083222	0.076516	0.036678
0.152887	0.096625	0.014833	0.093167	3.746066	0.242893	0.207948	0.220626	0.201242	0.215777	0.202837	0.209858	0.193933	0.210277	0.208682	0.207961	0.201699	0.200988	0.194353	0.203896	0.203817	0.196371	0.223953	0.309284	0.316244	0.083225	0.076516	0.036641
0.167444	0.096667	0.014833	0.093042	3.746077	0.242891	0.207948	0.220627	0.201242	0.215778	0.202839	0.209857	0.193932	0.210276	0.208682	0.207960	0.201699	0.200987	0.194353	0.203895	0.203817	0.196373	0.223954	0.309281	0.316239	0.083227	0.076516	0.036613
0.181973	0.096625	0.014875	0.092917	3.746038	0.242889	0.207948	0.220626	0.201243	0.215779	0.202840	0.209856	0.193932	0.210274	0.208682	0.207960	0.201699	0.200987	0.194352	0.203894	0.203816	0.196374	0.223953	0.309280	0.316237	0.083228	0.076517	0.036605
0.196438	0.096625	0.014875	0.093000	3.745972	0.242887	0.207948	0.220625	0.201243	0.215780	0.202841	0.209854	0.193933	0.210274	0.208681	0.207959	0.201699	0.200987	0.194351	0.203894	0.203816	0.196374	0.223952	0.309280	0.316236	0.083229	0.076517	0.036610
0.211321	0.096583	0.014875	0.092792	3.745877	0.242884	0.207946	0.220623	0.201244	0.215781	0.202840	0.209853	0.193934	0.210273	0.208682	0.207959	0.201698	0.200985	0.194351	0.203894	0.203816	0.196374	0.223951	0.309280	0.316234	0.083230	0.076516	0.036624
0.225523	0.096625	0.015042	0.092917	3.745804	0.242882	0.207945	0.220621	0.201243	0.215782	0.202840	0.209851	0.193935	0.210273	0.208682	0.207959	0.201698	0.200983	0.194352	0.203894	0.203816	0.196375	0.223951	0.309280	0.316233	0.083230	0.076515	0.036641
0.240279	0.096625	0.015042	0.093250	3.745733	0.242882	0.207945	0.220619	0.201242	0.215781	0.202839	0.209850	0.193936	0.210272	0.208683	0.207958	0.201697	0.200983	0.194353	0.203893	0.203817	0.196377	0.223951	0.309281	0.316232	0.083230	0.076515	0.036659
0.254937	0.096625	0.014875	0.093292	3.745640	0.242881	0.207945	0.220618	0.201242	0.215781	0.202838	0.209849	0.193936	0.210272	0.208683	0.207958	0.201697	0.200983	0.194354	0.203893	0.203818	0.196378	0.223951	0.309282	0.316233	0.083231	0.076516	0.036678
0.269075	0.096708	0.014958	0.092875	3.745545	0.242878	0.207944	0.220618	0.201242	0.215782	0.202838	0.209850	0.193936	0.210273	0.208683	0.207958	0.201698	0.200984	0.194355	0.203892	0.203820	0.196379	0.223951	0.309283	0.316232	0.083231	0.076516	0.036694
0.284087	0.096667	0.015000	0.092667	3.745432	0.242876	0.207944	0.220618	0.201243	0.215782	0.202838	0.209851	0.193935	0.210273	0.208683	0.207959	0.201700	0.200986	0.194354	0.203892	0.203820	0.196379	0.223951	0.309285	0.316229	0.083230	0.076516	0.036713
0.298519	0.096667	0.014958	0.092917	3.745284	0.242873	0.207943	0.220619	0.201243	0.215781	0.202838	0.209852	0.193935	0.210273	0.208684	0.207959	0.201701	0.200987	0.194353	0.203892	0.203820	0.196378	0.223951	0.309285	0.316224	0.083230	0.076516	0.036735
0.312917	0.096583	0.014958	0.093125	3.745142	0.242868	0.207942	0.220619	0.201242	0.215780	0.202839	0.209851	0.193934	0.210273	0.208683	0.207959	0.201702	0.200987	0.194352	0.203892	0.203820	0.196378	0.223951	0.309283	0.316218	0.083231	0.076516	0.036761
0.327671	0.096583	0.015000	0.093042	3.745010	0.242863	0.207942	0.220619	0.201241	0.215780	0.202839	0.209851	0.193933	0.210273	0.208683	0.207959	0.201701	0.200987	0.194353	0.203892	0.203819	0.196378	0.223951	0.309281	0.316213	0.083232	0.076516	0.036788
0.342133	0.096708	0.015000	0.092708	3.744866	0.242857	0.207940	0.220618	0.201240	0.215780	0.202838	0.209849	0.193932	0.210274	0.208682	0.207960	0.201700	0.200987	0.194354	0.203893	0.203818	0.196377	0.223952	0.309277	0.316208	0.083232	0.076516	0.036817
0.356792	0.096667	0.014833	0.092708	3.744718	0.242852	0.207938	0.220617	0.201239	0.215780	0.202837	0.209848	0.193932	0.210275	0.208682	0.207961	0.201699	0.200986	0.194355	0.203892	0.203819	0.196377	0.223951	0.309272	0.316204	0.083231	0.076516	0.036847
0.371223	0.096667	0.014875	0.092833	3.744606	0.242847	0.207936	0.220617	0.201240	0.215780	0.202837	0.209848	0.193932	0.210276	0.208683	0.207963	0.201700	0.200985	0.194356	0.203892	0.203820	0.196376	0.223952	0.309270	0.316200	0.083231	0.076516	0.036875
0.385717	0.096625	0.014958	0.092708	3.744502	0.242843	0.207936	0.220616	0.201241	0.215779	0.202836	0.209849	0.193932	0.210277	0.208684	0.207964	0.201700	0.200986	0.194356	0.203892	0.203821	0.196377	0.223953	0.309267	0.316194	0.083231	0.076517	0.036903
0.400569	0.096667	0.015000	0.093000	3.744377	0.242837	0.207935	0.220616	0.201242	0.215778	0.202835	0.209848	0.193933	0.210278	0.208684	0.207964	0.201701	0.200987	0.194355	0.203891	0.203822	0.196379	0.223954	0.309263	0.316184	0.083231	0.076516	0.036927
0.414804	0.096667	0.014833	0.093042	3.744275	0.242832	0.207935	0.220617	0.201242	0.215777	0.202834	0.209847	0.193933	0.210278	0.208685	0.207963	0.201701	0.200989	0.194356	0.203891	0.203822	0.196379	0.223954	0.309261	0.316180	0.083232	0.076516	0.036948
0.429592	0.096667	0.014958	0.093208	3.744192	0.242829	0.207935	0.220616	0.201242	0.215778	0.202835	0.209846	0.193932	0.210277	0.208686	0.207963	0.201701	0.200989	0.194356	0.203890	0.203822	0.196380	0.223953	0.309260	0.316180	0.083234	0.076516	0.036971
0.444183	0.096500	0.015042	0.093208	3.744103	0.242827	0.207935	0.220614	0.201242	0.215780	0.202835	0.209846	0.193932	0.210275	0.208686	0.207965	0.201701	0.200987	0.194356	0.203891	0.203822	0.196380	0.223951	0.309261	0.316183	0.083237	0.076516	0.036996
0.458452	0.096542	0.015083	0.093042	3.743983	0.242823	0.207937	0.220613	0.201242	0.215783	0.202836	0.209847	0.193932	0.210274	0.208685	0.207966	0.201701	0.200985	0.194356	0.203891	0.203823	0.196380	0.223950	0.309261	0.316185	0.083238	0.076515	0.037021
0.473338	0.096667	0.015000	0.092833	3.743742	0.242820	0.207938	0.220611	0.201241	0.215786	0.202836	0.209848	0.193933	0.210275	0.208683	0.207966	0.201701	0.200983	0.194357	0.203891	0.203823	0.196380	0.223950	0.309260	0.316186	0.083238	0.076515	0.037052
