[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.094187	0.101833	0.014292	0.041042	3.254697	0.278089	0.236846	0.242070	0.210527	0.220045	0.204530	0.210731	0.194445	0.210729	0.209071	0.208168	0.201922	0.201175	0.194534	0.204188	0.204152	0.197140	0.227276	0.308461	0.341571	0.082265	0.186250	0.025594
0.108488	0.102083	0.014250	0.041000	3.252259	0.278161	0.235933	0.241778	0.210195	0.220009	0.204492	0.210708	0.194439	0.210723	0.209068	0.208166	0.201918	0.201175	0.194533	0.204189	0.204153	0.197122	0.227274	0.308484	0.341609	0.082265	0.186282	0.025700
0.123342	0.102292	0.014125	0.041167	3.250921	0.278056	0.235648	0.241538	0.209785	0.220031	0.204448	0.210695	0.194428	0.210717	0.209059	0.208174	0.201915	0.201175	0.194531	0.204189	0.204155	0.197103	0.227261	0.308455	0.341684	0.082267	0.186332	0.025809
0.137869	0.102125	0.014167	0.041458	3.249154	0.276968	0.235378	0.240754	0.209372	0.219824	0.204384	0.210695	0.194410	0.210718	0.209048	0.208182	0.201906	0.201173	0.194531	0.204181	0.204152	0.197084	0.227225	0.308411	0.341626	0.082269	0.186387	0.025902
0.152231	0.102208	0.014292	0.042000	3.247370	0.275832	0.234579	0.239985	0.209138	0.219646	0.204333	0.210702	0.194396	0.210725	0.209038	0.208185	0.201900	0.201172	0.194534	0.204171	0.204152	0.197074	0.227189	0.308368	0.341512	0.082271	0.186444	0.025995
0.167021	0.102125	0.014125	0.042958	3.246275	0.275036	0.233181	0.239582	0.208921	0.219569	0.204296	0.210707	0.194388	0.210733	0.209033	0.208186	0.201903	0.201174	0.194539	0.204166	0.204154	0.197065	0.227175	0.308314	0.341425	0.082271	0.186502	0.026109
0.181419	0.102125	0.014333	0.042625	3.245638	0.274006	0.231666	0.239151	0.208600	0.219547	0.204248	0.210706	0.194379	0.210742	0.209029	0.208188	0.201908	0.201180	0.194539	0.204163	0.204149	0.197048	0.227171	0.308186	0.341360	0.082270	0.186556	0.026227
0.196042	0.102083	0.014250	0.041542	3.245474	0.273098	0.230291	0.238790	0.208331	0.219479	0.204193	0.210710	0.194364	0.210746	0.209028	0.208196	0.201906	0.201184	0.194537	0.204160	0.204142	0.197026	0.227162	0.308062	0.341298	0.082269	0.186609	0.026356
0.210573	0.102125	0.014083	0.041333	3.247329	0.273171	0.229542	0.238708	0.208394	0.219412	0.204179	0.210712	0.194367	0.210737	0.209034	0.208207	0.201900	0.201188	0.194534	0.204162	0.204134	0.197030	0.227164	0.308051	0.341295	0.082269	0.186653	0.026491
0.225067	0.102000	0.014208	0.041083	3.249930	0.273686	0.228891	0.238765	0.208619	0.219336	0.204190	0.210713	0.194384	0.210726	0.209042	0.208223	0.201897	0.201194	0.194532	0.204177	0.204131	0.197059	0.227178	0.308143	0.341393	0.082269	0.186688	0.026641
0.239919	0.102083	0.014167	0.041208	3.251135	0.274187	0.228864	0.239090	0.208710	0.219344	0.204210	0.210722	0.194405	0.210724	0.209047	0.208236	0.201900	0.201206	0.194536	0.204198	0.204137	0.197103	0.227210	0.308315	0.341606	0.082270	0.186710	0.026805
0.254088	0.102125	0.014375	0.041417	3.252894	0.275353	0.229929	0.240118	0.208821	0.219643	0.204227	0.210746	0.194453	0.210741	0.209052	0.208251	0.201913	0.201223	0.194554	0.204225	0.204163	0.197177	0.227282	0.308544	0.341887	0.082271	0.186716	0.026961
0.268877	0.101958	0.014417	0.041333	3.256897	0.278085	0.231552	0.241467	0.209372	0.220181	0.204277	0.210787	0.194529	0.210787	0.209056	0.208269	0.201928	0.201243	0.194581	0.204254	0.204211	0.197302	0.227409	0.308847	0.342247	0.082273	0.186708	0.027142
0.283469	0.102042	0.014333	0.041292	3.260383	0.279857	0.232770	0.242007	0.209890	0.220649	0.204377	0.210854	0.194580	0.210833	0.209072	0.208291	0.201944	0.201255	0.194602	0.204273	0.204255	0.197407	0.227559	0.309089	0.342516	0.082275	0.186685	0.027333
0.297704	0.101917	0.014292	0.042542	3.263713	0.281492	0.234882	0.242672	0.210753	0.221130	0.204552	0.210965	0.194644	0.210889	0.209103	0.208317	0.201968	0.201281	0.194627	0.204301	0.204313	0.197517	0.227731	0.309385	0.342896	0.082279	0.186655	0.027551
0.312683	0.101958	0.014417	0.044167	3.269308	0.284037	0.237875	0.244797	0.211849	0.221885	0.204831	0.211134	0.194718	0.210985	0.209153	0.208356	0.202001	0.201313	0.194658	0.204343	0.204394	0.197655	0.227911	0.309789	0.343490	0.082284	0.186616	0.027816
0.327085	0.101958	0.014333	0.048375	3.277383	0.287570	0.239671	0.246402	0.212713	0.222360	0.205031	0.211255	0.194757	0.211043	0.209206	0.208387	0.202027	0.201337	0.194687	0.204380	0.204447	0.197760	0.227999	0.310105	0.343887	0.082288	0.186581	0.028064
0.341481	0.101833	0.014333	0.054042	3.283626	0.291287	0.240778	0.247717	0.213141	0.222893	0.205116	0.211337	0.194796	0.211104	0.209255	0.208413	0.202050	0.201360	0.194712	0.204423	0.204489	0.197837	0.228099	0.310385	0.344174	0.082291	0.186550	0.028277
0.356302	0.101917	0.014250	0.054000	3.291368	0.295867	0.243682	0.250421	0.213899	0.223877	0.205272	0.211439	0.194902	0.211226	0.209295	0.208441	0.202077	0.201398	0.194740	0.204477	0.204533	0.197920	0.228261	0.310668	0.344526	0.082295	0.186520	0.028481
0.370663	0.101875	0.014208	0.056167	3.297908	0.299749	0.248096	0.253698	0.215132	0.225074	0.205532	0.211592	0.195046	0.211334	0.209343	0.208478	0.202108	0.201451	0.194765	0.204516	0.204590	0.198032	0.228433	0.310962	0.344992	0.082300	0.186488	0.028657
0.385356	0.101750	0.014292	0.057292	3.305229	0.304172	0.252764	0.256530	0.216787	0.226186	0.205803	0.211808	0.195183	0.211383	0.209429	0.208527	0.202139	0.201489	0.194796	0.204545	0.204649	0.198153	0.228587	0.311271	0.345491	0.082305	0.186448	0.028838
0.399852	0.101667	0.014417	0.059833	3.313488	0.308863	0.257473	0.259450	0.218942	0.227469	0.206201	0.212029	0.195295	0.211432	0.209531	0.208577	0.202176	0.201520	0.194829	0.204588	0.204702	0.198292	0.228724	0.311614	0.346052	0.082310	0.186408	0.029010
0.414279	0.101833	0.014375	0.062792	3.320241	0.312368	0.260617	0.261970	0.220899	0.228480	0.206367	0.212161	0.195327	0.211452	0.209602	0.208610	0.202206	0.201543	0.194851	0.204630	0.204738	0.198365	0.228803	0.311749	0.346327	0.082317	0.186369	0.029177
0.429198	0.101708	0.014375	0.064958	3.324635	0.314623	0.263244	0.263982	0.222151	0.228848	0.206411	0.212207	0.195330	0.211457	0.209634	0.208623	0.202229	0.201561	0.194866	0.204657	0.204761	0.198381	0.228847	0.311750	0.346440	0.082323	0.186333	0.029337
