[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.093856	0.098958	0.011458	-0.010417	3.256861	0.263359	0.218446	0.230188	0.204372	0.217673	0.203330	0.210138	0.194031	0.210434	0.208851	0.208065	0.201802	0.201066	0.194396	0.203966	0.203899	0.196579	0.226631	0.305388	0.338071	0.079639	0.178433	0.041674
0.108417	0.098833	0.011375	-0.010500	3.256785	0.263212	0.218372	0.229980	0.204303	0.217687	0.203330	0.210124	0.194024	0.210424	0.208843	0.208067	0.201796	0.201060	0.194393	0.203963	0.203892	0.196567	0.226624	0.305355	0.338014	0.079639	0.178433	0.041675
0.122975	0.098875	0.011375	-0.010500	3.256511	0.262986	0.218293	0.230011	0.204189	0.217714	0.203345	0.210114	0.194023	0.210417	0.208835	0.208065	0.201790	0.201057	0.194390	0.203958	0.203887	0.196558	0.226621	0.305329	0.338009	0.079639	0.178432	0.041669
0.137373	0.098792	0.011333	-0.010417	3.256306	0.262854	0.218100	0.230096	0.204080	0.217777	0.203367	0.210109	0.194034	0.210418	0.208830	0.208062	0.201786	0.201056	0.194388	0.203954	0.203889	0.196549	0.226619	0.305302	0.338034	0.079641	0.178429	0.041661
0.152227	0.098708	0.011375	-0.010333	3.256089	0.262466	0.217589	0.230051	0.203975	0.217809	0.203373	0.210116	0.194046	0.210421	0.208826	0.208057	0.201783	0.201057	0.194386	0.203948	0.203893	0.196537	0.226616	0.305277	0.338079	0.079643	0.178425	0.041655
0.166560	0.098958	0.011333	-0.010333	3.255641	0.262219	0.217208	0.229991	0.203946	0.217834	0.203368	0.210129	0.194056	0.210422	0.208828	0.208054	0.201781	0.201056	0.194384	0.203948	0.203899	0.196530	0.226614	0.305274	0.338118	0.079644	0.178421	0.041654
0.181215	0.098792	0.011333	-0.010417	3.254873	0.262477	0.217334	0.230146	0.203988	0.217871	0.203373	0.210139	0.194057	0.210422	0.208834	0.208053	0.201781	0.201056	0.194384	0.203954	0.203903	0.196529	0.226615	0.305284	0.338128	0.079644	0.178417	0.041652
0.195840	0.098750	0.011333	-0.010417	3.254411	0.262545	0.218000	0.230319	0.203992	0.217925	0.203366	0.210130	0.194049	0.210419	0.208834	0.208054	0.201780	0.201055	0.194384	0.203961	0.203902	0.196531	0.226611	0.305293	0.338107	0.079646	0.178413	0.041652
0.210108	0.098750	0.011250	-0.010417	3.253935	0.261970	0.218199	0.230234	0.203875	0.217913	0.203341	0.210117	0.194038	0.210413	0.208828	0.208051	0.201780	0.201052	0.194383	0.203963	0.203899	0.196533	0.226602	0.305293	0.338095	0.079647	0.178408	0.041653
0.224996	0.098667	0.011417	-0.010500	3.253900	0.261319	0.217908	0.230045	0.203739	0.217863	0.203313	0.210110	0.194029	0.210409	0.208823	0.208048	0.201780	0.201050	0.194381	0.203966	0.203897	0.196539	0.226597	0.305300	0.338103	0.079646	0.178400	0.041658
0.239458	0.098792	0.011417	-0.010417	3.254125	0.260918	0.217687	0.229978	0.203622	0.217819	0.203285	0.210104	0.194023	0.210409	0.208819	0.208045	0.201781	0.201052	0.194380	0.203969	0.203898	0.196549	0.226596	0.305316	0.338151	0.079644	0.178393	0.041667
0.253885	0.098708	0.011500	-0.010333	3.254720	0.261113	0.217473	0.230044	0.203599	0.217793	0.203265	0.210101	0.194016	0.210412	0.208818	0.208047	0.201779	0.201054	0.194379	0.203972	0.203898	0.196557	0.226604	0.305326	0.338186	0.079643	0.178387	0.041676
0.268642	0.098833	0.011375	-0.010500	3.255347	0.261689	0.217230	0.230167	0.203660	0.217789	0.203259	0.210106	0.194010	0.210415	0.208822	0.208054	0.201780	0.201053	0.194379	0.203972	0.203897	0.196558	0.226616	0.305338	0.338197	0.079643	0.178384	0.041687
0.283106	0.098750	0.011417	-0.010333	3.255972	0.261821	0.216838	0.230291	0.203658	0.217791	0.203267	0.210116	0.194008	0.210416	0.208827	0.208054	0.201782	0.201050	0.194380	0.203972	0.203897	0.196556	0.226629	0.305351	0.338204	0.079642	0.178383	0.041697
0.297631	0.098958	0.011500	-0.010500	3.256501	0.261238	0.216407	0.230350	0.203699	0.217790	0.203284	0.210124	0.194009	0.210415	0.208832	0.208049	0.201785	0.201049	0.194380	0.203969	0.203898	0.196554	0.226625	0.305358	0.338186	0.079643	0.178385	0.041702
0.312223	0.098750	0.011583	-0.010333	3.256639	0.260612	0.216044	0.230150	0.203798	0.217735	0.203288	0.210118	0.194008	0.210410	0.208832	0.208044	0.201784	0.201049	0.194380	0.203965	0.203893	0.196546	0.226607	0.305348	0.338111	0.079644	0.178388	0.041690
0.326719	0.098833	0.011417	-0.010500	3.256391	0.259937	0.215801	0.229889	0.203898	0.217685	0.203284	0.210111	0.194006	0.210406	0.208832	0.208045	0.201782	0.201051	0.194378	0.203962	0.203887	0.196534	0.226588	0.305337	0.338023	0.079645	0.178392	0.041654
0.341508	0.098750	0.011458	-0.010500	3.256072	0.259393	0.216094	0.229668	0.203829	0.217635	0.203273	0.210101	0.194004	0.210399	0.208835	0.208044	0.201780	0.201052	0.194377	0.203958	0.203880	0.196520	0.226576	0.305320	0.337935	0.079648	0.178397	0.041603
0.355806	0.098958	0.011542	-0.010333	3.255867	0.259115	0.216284	0.229569	0.203709	0.217565	0.203264	0.210092	0.194002	0.210391	0.208841	0.208042	0.201778	0.201050	0.194376	0.203955	0.203873	0.196510	0.226578	0.305280	0.337875	0.079650	0.178402	0.041556
0.370465	0.098750	0.011333	-0.010333	3.254833	0.258602	0.216002	0.229289	0.203570	0.217473	0.203237	0.210081	0.193997	0.210383	0.208838	0.208037	0.201774	0.201046	0.194374	0.203949	0.203865	0.196499	0.226559	0.305240	0.337805	0.079651	0.178406	0.041520
0.385121	0.098833	0.011250	-0.010417	3.253364	0.258057	0.215550	0.228951	0.203415	0.217387	0.203206	0.210071	0.193989	0.210376	0.208826	0.208029	0.201768	0.201042	0.194371	0.203943	0.203858	0.196489	0.226535	0.305219	0.337765	0.079652	0.178411	0.041499
0.399390	0.098917	0.011417	-0.010583	3.253307	0.258023	0.215522	0.228817	0.203374	0.217364	0.203190	0.210070	0.193987	0.210372	0.208819	0.208024	0.201767	0.201038	0.194369	0.203939	0.203861	0.196497	0.226534	0.305237	0.337805	0.079652	0.178415	0.041490
0.414308	0.098917	0.011458	-0.010500	3.255362	0.258917	0.216174	0.229303	0.203663	0.217414	0.203201	0.210072	0.193997	0.210370	0.208822	0.208027	0.201770	0.201037	0.194370	0.203942	0.203873	0.196529	0.226561	0.305296	0.337947	0.079653	0.178419	0.041491
0.428737	0.098833	0.011250	-0.010750	3.256956	0.259700	0.216820	0.229766	0.203909	0.217614	0.203225	0.210075	0.194005	0.210369	0.208821	0.208031	0.201773	0.201037	0.194372	0.203946	0.203882	0.196552	0.226586	0.305349	0.338005	0.079653	0.178419	0.041500
0.443167	0.098958	0.011333	-0.010417	3.257382	0.259784	0.216755	0.229913	0.203881	0.217698	0.203246	0.210075	0.194007	0.210370	0.208816	0.208035	0.201775	0.201039	0.194374	0.203949	0.203889	0.196560	0.226595	0.305389	0.338027	0.079653	0.178416	0.041518
0.457923	0.098792	0.011542	-0.010500	3.256931	0.259380	0.216335	0.229771	0.203754	0.217638	0.203235	0.210070	0.194006	0.210374	0.208810	0.208036	0.201775	0.201040	0.194375	0.203953	0.203892	0.196555	0.226597	0.305402	0.338059	0.079651	0.178411	0.041540
0.472325	0.098792	0.011458	-0.010333	3.256364	0.258997	0.215942	0.229604	0.203643	0.217545	0.203218	0.210069	0.194006	0.210377	0.208805	0.208033	0.201774	0.201039	0.194375	0.203953	0.203892	0.196545	0.226603	0.305395	0.338064	0.079648	0.178406	0.041560
0.487044	0.098875	0.011292	-0.010500	3.256113	0.258707	0.215830	0.229537	0.203568	0.217470	0.203203	0.210072	0.194002	0.210375	0.208800	0.208028	0.201772	0.201037	0.194374	0.203952	0.203891	0.196534	0.226609	0.305370	0.338037	0.079644	0.178402	0.041578
0.501506	0.098875	0.011500	-0.010500	3.256464	0.258776	0.216382	0.229608	0.203595	0.217434	0.203199	0.210080	0.193996	0.210372	0.208798	0.208024	0.201771	0.201038	0.194373	0.203952	0.203895	0.196526	0.226616	0.305360	0.338009	0.079643	0.178400	0.041589
0.515973	0.098875	0.011417	-0.010500	3.257012	0.259007	0.217125	0.229672	0.203668	0.217401	0.203208	0.210084	0.193989	0.210370	0.208800	0.208021	0.201770	0.201040	0.194375	0.203953	0.203896	0.196521	0.226614	0.305383	0.338017	0.079645	0.178401	0.041599
0.530854	0.098750	0.011417	-0.010500	3.257378	0.259437	0.217337	0.229690	0.203798	0.217384	0.203229	0.210089	0.193984	0.210367	0.208804	0.208019	0.201768	0.201042	0.194379	0.203954	0.203894	0.196525	0.226598	0.305406	0.337989	0.079648	0.178399	0.041618
0.545058	0.098875	0.011500	-0.010417	3.257853	0.259931	0.217520	0.229792	0.203969	0.217383	0.203241	0.210103	0.193983	0.210367	0.208806	0.208018	0.201767	0.201043	0.194384	0.203955	0.203892	0.196536	0.226585	0.305426	0.337954	0.079651	0.178396	0.041664
0.559812	0.098792	0.011417	-0.010583	3.257894	0.260117	0.217412	0.229736	0.204029	0.217378	0.203245	0.210124	0.193981	0.210366	0.208803	0.208018	0.201765	0.201044	0.194387	0.203954	0.203890	0.196545	0.226572	0.305430	0.337906	0.079655	0.178392	0.041749
0.574406	0.098875	0.011542	-0.010500	3.257400	0.260048	0.217154	0.229575	0.203923	0.217418	0.203245	0.210134	0.193984	0.210364	0.208800	0.208020	0.201763	0.201044	0.194388	0.203950	0.203888	0.196552	0.226564	0.305434	0.337866	0.079656	0.178388	0.041845
0.588608	0.098708	0.011417	-0.010333	3.257686	0.260446	0.217020	0.229485	0.203838	0.217523	0.203253	0.210139	0.193993	0.210366	0.208800	0.208023	0.201763	0.201046	0.194390	0.203946	0.203889	0.196560	0.226562	0.305420	0.337844	0.079656	0.178383	0.041925
0.603654	0.098958	0.011667	-0.010417	3.258917	0.261478	0.217157	0.229499	0.203919	0.217646	0.203269	0.210145	0.194005	0.210371	0.208803	0.208026	0.201766	0.201056	0.194391	0.203946	0.203892	0.196571	0.226566	0.305403	0.337863	0.079656	0.178377	0.042002
0.618052	0.098708	0.011250	-0.010333	3.259214	0.261577	0.217135	0.229562	0.204019	0.217616	0.203274	0.210143	0.194008	0.210380	0.208808	0.208029	0.201765	0.201062	0.194390	0.203947	0.203894	0.196566	0.226566	0.305375	0.337876	0.079655	0.178371	0.042066
