[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.017033	0.100667	0.014000	0.018000	4.326306	0.262629	0.213052	0.227713	0.203637	0.218827	0.204355	0.211653	0.195292	0.211711	0.209770	0.209044	0.202857	0.202256	0.195825	0.205473	0.205344	0.199497	0.231161	0.327116	0.370387	0.082083	0.182975	0.021617	2.059626	8.144000	35.000000	97.723579
0.020667	0.100667	0.014000	0.018000	4.326314	0.262629	0.213053	0.227713	0.203637	0.218828	0.204355	0.211654	0.195292	0.211711	0.209771	0.209044	0.202857	0.202257	0.195825	0.205473	0.205345	0.199498	0.231161	0.327116	0.370388	0.082083	0.182975	0.021611	2.059625	8.131001	35.000000	97.804878
0.024042	0.101000	0.013667	0.017833	4.326325	0.262631	0.213053	0.227713	0.203638	0.218828	0.204356	0.211654	0.195292	0.211711	0.209771	0.209044	0.202857	0.202257	0.195825	0.205473	0.205345	0.199498	0.231161	0.327116	0.370389	0.082082	0.182975	0.021601	2.059625	8.159000	35.000000	97.764229
0.028467	0.100667	0.013333	0.017500	4.326330	0.262631	0.213052	0.227712	0.203638	0.218828	0.204356	0.211654	0.195292	0.211711	0.209771	0.209043	0.202858	0.202256	0.195825	0.205473	0.205345	0.199498	0.231161	0.327114	0.370389	0.082080	0.182975	0.021595	2.059625	8.183001	35.000000	97.784554
0.031975	0.101000	0.013667	0.017333	4.326332	0.262631	0.213052	0.227712	0.203639	0.218828	0.204356	0.211654	0.195293	0.211711	0.209772	0.209043	0.202858	0.202256	0.195825	0.205473	0.205345	0.199498	0.231161	0.327114	0.370390	0.082079	0.182975	0.021588	2.059625	8.191000	35.000000	97.804878
0.035483	0.101333	0.014000	0.017500	4.326337	0.262631	0.213051	0.227712	0.203639	0.218828	0.204356	0.211654	0.195293	0.211711	0.209772	0.209042	0.202858	0.202256	0.195825	0.205473	0.205346	0.199498	0.231161	0.327113	0.370390	0.082079	0.182975	0.021582	2.059624	8.162000	35.000000	97.784554
0.038867	0.100667	0.014000	0.017333	4.326340	0.262631	0.213051	0.227711	0.203639	0.218828	0.204357	0.211654	0.195293	0.211711	0.209773	0.209042	0.202858	0.202256	0.195824	0.205473	0.205346	0.199498	0.231161	0.327113	0.370391	0.082079	0.182975	0.021578	2.059624	8.146999	35.000000	97.764229
0.042508	0.101000	0.013667	0.017500	4.326344	0.262630	0.213051	0.227711	0.203639	0.218828	0.204357	0.211654	0.195293	0.211711	0.209773	0.209042	0.202859	0.202256	0.195823	0.205474	0.205345	0.199498	0.231161	0.327112	0.370392	0.082079	0.182974	0.021574	2.059624	8.127000	35.000000	97.703255
0.045892	0.101000	0.013667	0.017500	4.326346	0.262629	0.213051	0.227711	0.203639	0.218828	0.204357	0.211654	0.195293	0.211710	0.209773	0.209042	0.202860	0.202256	0.195823	0.205474	0.205345	0.199497	0.231161	0.327111	0.370392	0.082079	0.182974	0.021571	2.059624	8.151000	35.000000	97.703255
0.049525	0.101000	0.013333	0.017333	4.326348	0.262629	0.213051	0.227710	0.203639	0.218827	0.204357	0.211653	0.195293	0.211710	0.209773	0.209042	0.202859	0.202256	0.195823	0.205474	0.205345	0.199497	0.231160	0.327111	0.370392	0.082079	0.182974	0.021569	2.059624	8.156000	35.000000	97.682922
0.053950	0.101000	0.013667	0.017167	4.326346	0.262629	0.213051	0.227710	0.203639	0.218827	0.204357	0.211653	0.195293	0.211710	0.209773	0.209042	0.202859	0.202256	0.195822	0.205474	0.205345	0.199497	0.231160	0.327110	0.370393	0.082079	0.182974	0.021568	2.059624	8.159000	35.000000	97.764229
0.057458	0.100667	0.014000	0.017000	4.326343	0.262628	0.213051	0.227709	0.203638	0.218827	0.204357	0.211652	0.195293	0.211709	0.209773	0.209042	0.202859	0.202256	0.195822	0.205474	0.205345	0.199497	0.231160	0.327109	0.370393	0.082080	0.182974	0.021567	2.059624	8.126000	35.000000	97.723579
0.060967	0.100667	0.013333	0.016667	4.326339	0.262628	0.213050	0.227709	0.203637	0.218827	0.204357	0.211651	0.195293	0.211709	0.209773	0.209042	0.202859	0.202256	0.195822	0.205474	0.205345	0.199497	0.231159	0.327108	0.370393	0.082080	0.182974	0.021567	2.059624	8.110000	35.000000	97.845528
0.064475	0.100667	0.014000	0.017333	4.326329	0.262628	0.213050	0.227708	0.203637	0.218827	0.204356	0.211650	0.195292	0.211709	0.209772	0.209042	0.202859	0.202256	0.195822	0.205474	0.205345	0.199496	0.231159	0.327107	0.370393	0.082082	0.182975	0.021568	2.059624	8.090000	35.000000	97.723579
0.067858	0.101000	0.013333	0.017000	4.326325	0.262628	0.213050	0.227708	0.203637	0.218827	0.204356	0.211650	0.195292	0.211709	0.209772	0.209042	0.202859	0.202255	0.195822	0.205474	0.205345	0.199496	0.231159	0.327107	0.370392	0.082083	0.182975	0.021569	2.059625	8.100000	35.000000	97.845528
0.071367	0.101333	0.014000	0.017500	4.326320	0.262628	0.213050	0.227708	0.203637	0.218827	0.204356	0.211649	0.195292	0.211708	0.209772	0.209042	0.202858	0.202255	0.195822	0.205474	0.205345	0.199496	0.231159	0.327106	0.370392	0.082083	0.182975	0.021570	2.059625	8.156000	35.000000	97.845528
0.075792	0.101000	0.014000	0.017833	4.326304	0.262628	0.213051	0.227707	0.203636	0.218827	0.204356	0.211648	0.195292	0.211707	0.209772	0.209041	0.202858	0.202255	0.195822	0.205474	0.205345	0.199496	0.231159	0.327104	0.370392	0.082084	0.182975	0.021572	2.059625	8.187000	35.000000	97.723579
0.079292	0.101000	0.014000	0.018000	4.326298	0.262628	0.213051	0.227707	0.203636	0.218827	0.204357	0.211647	0.195292	0.211707	0.209772	0.209041	0.202858	0.202255	0.195822	0.205474	0.205345	0.199496	0.231158	0.327104	0.370392	0.082085	0.182975	0.021573	2.059626	8.177000	35.000000	97.723579
