[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.095585	0.098667	0.011167	0.020167	3.221666	0.254949	0.212810	0.227804	0.202758	0.217253	0.203228	0.210182	0.194048	0.210415	0.208821	0.208025	0.201784	0.201055	0.194389	0.203937	0.203882	0.196413	0.225622	0.303642	0.336579	0.079436	0.177137	0.037606
0.109952	0.098708	0.011083	0.019875	3.221151	0.255122	0.212812	0.227717	0.202846	0.217247	0.203229	0.210176	0.194054	0.210420	0.208824	0.208023	0.201788	0.201052	0.194391	0.203941	0.203888	0.196414	0.225622	0.303632	0.336548	0.079437	0.177137	0.037602
0.124446	0.098583	0.011167	0.019667	3.221207	0.255187	0.212863	0.227663	0.202871	0.217232	0.203231	0.210173	0.194056	0.210424	0.208824	0.208023	0.201790	0.201051	0.194395	0.203942	0.203887	0.196411	0.225614	0.303608	0.336519	0.079438	0.177137	0.037583
0.139140	0.098708	0.011167	0.019333	3.221591	0.255113	0.213090	0.227636	0.202838	0.217193	0.203235	0.210174	0.194060	0.210428	0.208824	0.208023	0.201789	0.201052	0.194398	0.203939	0.203882	0.196403	0.225610	0.303582	0.336494	0.079437	0.177138	0.037550
0.153629	0.098500	0.011167	0.019333	3.222011	0.254885	0.213274	0.227702	0.202760	0.217174	0.203239	0.210170	0.194066	0.210425	0.208824	0.208022	0.201787	0.201050	0.194401	0.203935	0.203880	0.196391	0.225608	0.303558	0.336467	0.079437	0.177140	0.037511
0.168192	0.098583	0.011333	0.019333	3.222371	0.254601	0.213282	0.227732	0.202698	0.217158	0.203238	0.210157	0.194065	0.210415	0.208824	0.208017	0.201785	0.201047	0.194403	0.203932	0.203878	0.196384	0.225610	0.303533	0.336443	0.079437	0.177144	0.037474
0.182717	0.098667	0.011417	0.019625	3.222304	0.254424	0.213184	0.227642	0.202672	0.217146	0.203232	0.210141	0.194057	0.210407	0.208820	0.208014	0.201783	0.201044	0.194402	0.203931	0.203876	0.196385	0.225608	0.303517	0.336424	0.079438	0.177150	0.037442
0.215704	0.098667	0.010917	0.019667	3.222779	0.255066	0.213345	0.227735	0.202710	0.217125	0.203227	0.210131	0.194046	0.210411	0.208811	0.208014	0.201782	0.201043	0.194399	0.203931	0.203875	0.196390	0.225596	0.303577	0.336380	0.079436	0.177166	0.037413
0.230073	0.098667	0.011083	0.019417	3.222489	0.255467	0.213226	0.227801	0.202667	0.217107	0.203220	0.210135	0.194041	0.210409	0.208806	0.208017	0.201780	0.201041	0.194399	0.203931	0.203871	0.196392	0.225587	0.303620	0.336343	0.079435	0.177170	0.037425
0.244535	0.098708	0.011083	0.019333	3.222255	0.255667	0.213056	0.227791	0.202604	0.217083	0.203204	0.210131	0.194036	0.210401	0.208801	0.208016	0.201777	0.201039	0.194397	0.203929	0.203866	0.196395	0.225584	0.303637	0.336324	0.079437	0.177170	0.037455
