[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.020142	0.101667	0.015333	0.243000	4.346343	0.264019	0.213823	0.229339	0.203967	0.219239	0.204404	0.211726	0.195332	0.211769	0.209783	0.209064	0.202876	0.202284	0.195891	0.205539	0.205430	0.199728	0.231974	0.323600	0.373820	0.083973	0.184081	-0.004528	2.059683	3.146000	35.000000	97.723579
0.023658	0.101667	0.015667	0.248667	4.346325	0.264010	0.213822	0.229340	0.203967	0.219239	0.204405	0.211726	0.195332	0.211769	0.209783	0.209064	0.202876	0.202284	0.195892	0.205540	0.205430	0.199726	0.231971	0.323595	0.373822	0.083974	0.184086	-0.004595	2.059683	3.020000	35.000000	97.804878
0.027300	0.101833	0.015667	0.253000	4.346313	0.264007	0.213822	0.229340	0.203967	0.219240	0.204405	0.211726	0.195332	0.211768	0.209784	0.209064	0.202876	0.202284	0.195892	0.205541	0.205432	0.199725	0.231970	0.323586	0.373825	0.083977	0.184090	-0.004746	2.059683	2.924000	35.000000	97.723579
0.030800	0.101833	0.015500	0.257833	4.346289	0.264003	0.213820	0.229339	0.203968	0.219240	0.204405	0.211726	0.195332	0.211768	0.209784	0.209064	0.202877	0.202286	0.195893	0.205541	0.205432	0.199723	0.231968	0.323582	0.373824	0.083977	0.184101	-0.004822	2.059683	2.845000	35.000000	97.886177
0.034317	0.101833	0.015333	0.263667	4.346275	0.263997	0.213820	0.229339	0.203968	0.219240	0.204406	0.211726	0.195333	0.211768	0.209785	0.209064	0.202878	0.202286	0.195894	0.205542	0.205433	0.199722	0.231965	0.323578	0.373822	0.083979	0.184107	-0.004898	2.059683	2.741000	35.000000	97.804878
0.038475	0.101833	0.015667	0.269833	4.346220	0.263997	0.213819	0.229338	0.203969	0.219240	0.204408	0.211727	0.195334	0.211767	0.209786	0.209064	0.202878	0.202287	0.195895	0.205543	0.205433	0.199720	0.231959	0.323569	0.373811	0.083984	0.184120	-0.005079	2.059683	2.668000	35.000000	97.703255
0.042117	0.101333	0.015500	0.275667	4.346201	0.264000	0.213817	0.229337	0.203971	0.219241	0.204409	0.211728	0.195335	0.211767	0.209786	0.209065	0.202879	0.202287	0.195897	0.205544	0.205434	0.199720	0.231957	0.323566	0.373800	0.083987	0.184129	-0.005184	2.059683	2.577000	35.000000	97.743904
0.045500	0.101500	0.015667	0.280333	4.346152	0.264002	0.213816	0.229334	0.203973	0.219242	0.204411	0.211728	0.195336	0.211767	0.209788	0.209065	0.202879	0.202287	0.195897	0.205544	0.205435	0.199718	0.231954	0.323566	0.373796	0.083989	0.184138	-0.005286	2.059683	2.516000	35.000000	97.784554
0.049133	0.101333	0.015667	0.283500	4.346127	0.264005	0.213815	0.229333	0.203975	0.219243	0.204412	0.211729	0.195337	0.211768	0.209789	0.209067	0.202879	0.202288	0.195898	0.205545	0.205436	0.199718	0.231950	0.323565	0.373790	0.083991	0.184146	-0.005350	2.059683	2.465000	35.000000	97.723579
0.052650	0.101000	0.015667	0.287667	4.346068	0.264012	0.213814	0.229331	0.203977	0.219243	0.204415	0.211729	0.195339	0.211768	0.209790	0.209067	0.202879	0.202289	0.195899	0.205546	0.205437	0.199718	0.231948	0.323564	0.373780	0.083994	0.184148	-0.005422	2.059683	2.405000	35.000000	97.723579
