0.023925	0.101667	0.014333	0.018667	5.073613	0.281658	0.218050	0.236026	0.205415	0.221794	0.205324	0.212367	0.195822	0.212190	0.210023	0.209239	0.203013	0.202382	0.196005	0.205772	0.205759	0.199798	0.233662	0.335328	0.419794	0.082197	0.184449	0.030112	2.059889	13.700000	35.000000	97.784554
0.027442	0.101667	0.014167	0.018667	5.073622	0.281658	0.218039	0.236111	0.205423	0.221804	0.205323	0.212368	0.195826	0.212192	0.210022	0.209240	0.203013	0.202382	0.196005	0.205774	0.205759	0.199795	0.233666	0.335336	0.419812	0.082197	0.184450	0.030112	2.059889	13.613000	35.000000	97.723579
0.031075	0.101667	0.014333	0.018667	5.073655	0.281592	0.218018	0.236158	0.205422	0.221800	0.205316	0.212369	0.195829	0.212193	0.210019	0.209240	0.203013	0.202380	0.196005	0.205774	0.205756	0.199792	0.233667	0.335342	0.419827	0.082197	0.184451	0.030112	2.059889	13.591000	35.000000	97.764229
0.035500	0.101667	0.014333	0.018667	5.073561	0.281549	0.217984	0.236194	0.205414	0.221802	0.205312	0.212368	0.195832	0.212194	0.210017	0.209239	0.203014	0.202380	0.196004	0.205775	0.205755	0.199790	0.233667	0.335337	0.419845	0.082197	0.184453	0.030112	2.059890	13.596000	35.000000	97.723579
0.039008	0.101667	0.014000	0.018667	5.073516	0.281470	0.217971	0.236186	0.205410	0.221803	0.205309	0.212369	0.195835	0.212195	0.210015	0.209238	0.203015	0.202379	0.196003	0.205775	0.205753	0.199785	0.233666	0.335335	0.419847	0.082197	0.184454	0.030112	2.059890	13.576000	35.000000	97.804878
0.042383	0.101500	0.014000	0.018667	5.073492	0.281437	0.217972	0.236166	0.205400	0.221800	0.205308	0.212370	0.195837	0.212196	0.210013	0.209238	0.203018	0.202379	0.196003	0.205777	0.205753	0.199783	0.233665	0.335333	0.419850	0.082197	0.184455	0.030112	2.059890	13.566999	35.000000	97.723579
0.045900	0.101500	0.014333	0.018667	5.073613	0.281398	0.217979	0.236145	0.205395	0.221780	0.205305	0.212367	0.195838	0.212193	0.210011	0.209237	0.203017	0.202378	0.196002	0.205777	0.205751	0.199777	0.233663	0.335334	0.419851	0.082197	0.184456	0.030112	2.059890	13.551001	35.000000	97.764229
0.049408	0.101500	0.014167	0.018667	5.073731	0.281330	0.217982	0.236105	0.205383	0.221768	0.205302	0.212364	0.195840	0.212191	0.210008	0.209236	0.203017	0.202377	0.196001	0.205776	0.205748	0.199775	0.233659	0.335333	0.419857	0.082197	0.184458	0.030112	2.059891	13.552000	35.000000	97.764229
0.053050	0.101500	0.014333	0.018667	5.073785	0.281293	0.217988	0.236079	0.205372	0.221745	0.205296	0.212358	0.195841	0.212187	0.210006	0.209234	0.203015	0.202376	0.196000	0.205774	0.205746	0.199773	0.233656	0.335330	0.419854	0.082197	0.184458	0.030112	2.059891	13.612000	35.000000	97.723579
0.057342	0.101667	0.014333	0.018667	5.073826	0.281240	0.218002	0.236020	0.205352	0.221716	0.205290	0.212356	0.195841	0.212185	0.210002	0.209231	0.203013	0.202376	0.195997	0.205773	0.205742	0.199767	0.233648	0.335326	0.419844	0.082196	0.184459	0.030111	2.059891	13.608000	35.000000	97.804878
0.060717	0.101667	0.014333	0.018500	5.073969	0.281225	0.218054	0.236020	0.205352	0.221710	0.205290	0.212356	0.195842	0.212185	0.210002	0.209231	0.203013	0.202375	0.195997	0.205773	0.205742	0.199767	0.233646	0.335325	0.419840	0.082196	0.184459	0.030110	2.059891	13.599000	35.000000	97.784554
0.064233	0.101500	0.014333	0.019000	5.074043	0.281197	0.218081	0.236037	0.205361	0.221704	0.205293	0.212370	0.195843	0.212190	0.210003	0.209231	0.203012	0.202375	0.195997	0.205772	0.205743	0.199768	0.233641	0.335325	0.419825	0.082196	0.184459	0.030109	2.059891	13.587000	35.000000	97.825203
0.067867	0.101333	0.014167	0.018667	5.074049	0.281197	0.218101	0.236043	0.205365	0.221704	0.205296	0.212382	0.195847	0.212195	0.210005	0.209231	0.203012	0.202376	0.195997	0.205772	0.205744	0.199770	0.233641	0.335325	0.419825	0.082196	0.184459	0.030108	2.059891	13.582001	35.000000	97.682922
0.071242	0.101667	0.014167	0.018667	5.074274	0.281202	0.218183	0.236075	0.205399	0.221705	0.205309	0.212400	0.195850	0.212211	0.210008	0.209231	0.203015	0.202377	0.195998	0.205774	0.205747	0.199773	0.233639	0.335327	0.419822	0.082195	0.184459	0.030105	2.059891	13.609000	35.000000	97.642273
0.074892	0.101667	0.014333	0.018667	5.074394	0.281229	0.218253	0.236076	0.205429	0.221697	0.205318	0.212431	0.195853	0.212217	0.210013	0.209233	0.203016	0.202379	0.195999	0.205775	0.205750	0.199778	0.233638	0.335327	0.419822	0.082195	0.184459	0.030102	2.059891	13.632000	35.000000	97.723579
0.078392	0.101667	0.014000	0.019000	5.074747	0.281283	0.218455	0.236096	0.205510	0.221687	0.205334	0.212443	0.195859	0.212222	0.210015	0.209236	0.203017	0.202380	0.196001	0.205774	0.205750	0.199780	0.233636	0.335329	0.419824	0.082195	0.184459	0.030098	2.059891	13.631001	35.000000	97.682922
0.082817	0.102000	0.014333	0.018667	5.075324	0.281390	0.218686	0.236167	0.205590	0.221677	0.205347	0.212463	0.195867	0.212232	0.210022	0.209237	0.203019	0.202380	0.196003	0.205774	0.205752	0.199782	0.233635	0.335330	0.419831	0.082194	0.184459	0.030088	2.059890	13.604000	35.000000	97.804878
0.086325	0.101667	0.014000	0.018667	5.075474	0.281422	0.218857	0.236173	0.205638	0.221654	0.205357	0.212469	0.195869	0.212240	0.210024	0.209238	0.203022	0.202380	0.196003	0.205774	0.205752	0.199782	0.233633	0.335329	0.419833	0.082194	0.184459	0.030083	2.059890	13.598000	35.000000	97.764229
0.089708	0.101667	0.014333	0.018667	5.075629	0.281453	0.218948	0.236179	0.205671	0.221640	0.205365	0.212479	0.195870	0.212243	0.210031	0.209238	0.203024	0.202380	0.196003	0.205774	0.205752	0.199780	0.233631	0.335331	0.419835	0.082194	0.184459	0.030071	2.059890	13.596000	35.000000	97.886177
0.093350	0.101833	0.014000	0.018667	5.075906	0.281460	0.219005	0.236171	0.205723	0.221613	0.205381	0.212478	0.195876	0.212244	0.210034	0.209238	0.203025	0.202379	0.196003	0.205773	0.205751	0.199779	0.233627	0.335331	0.419840	0.082194	0.184459	0.030064	2.059890	13.585000	35.000000	97.560974
0.096850	0.101667	0.014000	0.018667	5.075962	0.281418	0.218986	0.236148	0.205732	0.221598	0.205386	0.212473	0.195878	0.212244	0.210038	0.209239	0.203028	0.202379	0.196003	0.205772	0.205750	0.199776	0.233625	0.335324	0.419837	0.082194	0.184458	0.030057	2.059890	13.642000	35.000000	97.723579
0.100367	0.101833	0.014167	0.018667	5.075975	0.281293	0.218962	0.236082	0.205733	0.221564	0.205387	0.212469	0.195879	0.212243	0.210042	0.209240	0.203029	0.202380	0.196002	0.205771	0.205747	0.199772	0.233619	0.335321	0.419832	0.082194	0.184458	0.030041	2.059890	13.649000	35.000000	97.926826
0.104525	0.101667	0.014333	0.018667	5.076001	0.281162	0.218914	0.236022	0.205742	0.221533	0.205394	0.212458	0.195881	0.212241	0.210044	0.209240	0.203031	0.202380	0.196002	0.205769	0.205744	0.199765	0.233612	0.335314	0.419828	0.082194	0.184458	0.030024	2.059890	13.625000	35.000000	97.703247
0.108033	0.101667	0.014500	0.018667	5.075765	0.281002	0.218819	0.235944	0.205740	0.221505	0.205394	0.212453	0.195881	0.212239	0.210048	0.209240	0.203031	0.202380	0.196000	0.205768	0.205742	0.199762	0.233608	0.335310	0.419818	0.082194	0.184458	0.030011	2.059891	13.607000	35.000000	97.845528
0.111550	0.101667	0.014167	0.018500	5.075566	0.280921	0.218768	0.235902	0.205720	0.221494	0.205396	0.212443	0.195881	0.212236	0.210048	0.209240	0.203031	0.202380	0.195999	0.205767	0.205740	0.199759	0.233606	0.335305	0.419813	0.082194	0.184458	0.030003	2.059891	13.609000	35.000000	97.906502
0.115183	0.101667	0.014000	0.018500	5.075233	0.280802	0.218719	0.235829	0.205710	0.221484	0.205396	0.212441	0.195882	0.212236	0.210048	0.209240	0.203031	0.202380	0.195999	0.205766	0.205738	0.199755	0.233601	0.335303	0.419806	0.082194	0.184458	0.029990	2.059891	13.634001	35.000000	97.886177
0.118700	0.101667	0.014333	0.018667	5.075046	0.280735	0.218620	0.235790	0.205678	0.221483	0.205393	0.212436	0.195883	0.212233	0.210050	0.209242	0.203031	0.202381	0.195999	0.205766	0.205736	0.199754	0.233598	0.335303	0.419805	0.082194	0.184458	0.029977	2.059891	13.660999	35.000000	97.804878
0.122208	0.101833	0.014167	0.018667	5.074677	0.280673	0.218568	0.235752	0.205666	0.221480	0.205390	0.212427	0.195883	0.212232	0.210047	0.209243	0.203031	0.202382	0.195998	0.205766	0.205734	0.199751	0.233596	0.335303	0.419805	0.082194	0.184459	0.029964	2.059891	13.659000	35.000000	97.743904
0.125717	0.101833	0.014167	0.018500	5.074497	0.280552	0.218468	0.235695	0.205655	0.221480	0.205386	0.212423	0.195882	0.212230	0.210046	0.209243	0.203030	0.202382	0.195998	0.205767	0.205734	0.199750	0.233595	0.335312	0.419808	0.082194	0.184459	0.029952	2.059892	13.642000	35.000000	97.743904
0.130133	0.101333	0.014333	0.018333	5.074316	0.280495	0.218420	0.235668	0.205622	0.221493	0.205374	0.212419	0.195881	0.212229	0.210044	0.209246	0.203029	0.202385	0.195998	0.205770	0.205733	0.199751	0.233594	0.335337	0.419835	0.082194	0.184460	0.029932	2.059892	13.612000	35.000000	97.764229
0.133517	0.101667	0.014333	0.018667	5.073965	0.280398	0.218362	0.235643	0.205604	0.221502	0.205367	0.212413	0.195881	0.212229	0.210039	0.209247	0.203028	0.202386	0.195999	0.205771	0.205732	0.199751	0.233593	0.335345	0.419865	0.082194	0.184460	0.029925	2.059892	13.610000	35.000000	97.723579
0.137158	0.101667	0.014000	0.018333	5.073799	0.280353	0.218334	0.235636	0.205584	0.221508	0.205351	0.212410	0.195877	0.212227	0.210037	0.209247	0.203026	0.202386	0.196000	0.205772	0.205731	0.199751	0.233592	0.335355	0.419876	0.082194	0.184461	0.029918	2.059892	13.622000	35.000000	97.764229
0.140533	0.101667	0.014333	0.018333	5.073478	0.280301	0.218294	0.235618	0.205544	0.221512	0.205343	0.212404	0.195875	0.212225	0.210033	0.209247	0.203025	0.202386	0.196002	0.205774	0.205730	0.199749	0.233591	0.335356	0.419887	0.082194	0.184461	0.029904	2.059892	13.670000	35.000000	97.723579
