0.007223	0.089042	0.013167	-0.010750	3.285131	0.258959	0.216567	0.228803	0.203260	0.217240	0.203277	0.210269	0.194090	0.210495	0.208847	0.208079	0.201847	0.201119	0.194452	0.204042	0.203982	0.196591	0.227062	0.301671	0.339590	0.081574	0.157967	0.025765
0.021879	0.088917	0.013292	-0.010583	3.288745	0.259423	0.217366	0.229006	0.203392	0.217273	0.203265	0.210270	0.194093	0.210501	0.208847	0.208081	0.201844	0.201123	0.194449	0.204046	0.203975	0.196592	0.227051	0.301702	0.339562	0.081571	0.157959	0.025816
0.036406	0.088958	0.013167	-0.010417	3.293094	0.260317	0.218100	0.229388	0.203511	0.217333	0.203269	0.210297	0.194110	0.210514	0.208846	0.208086	0.201844	0.201133	0.194446	0.204049	0.203972	0.196595	0.227058	0.301717	0.339601	0.081568	0.157953	0.025847
0.050935	0.088917	0.013458	-0.010333	3.296080	0.261319	0.218279	0.229824	0.203559	0.217390	0.203262	0.210318	0.194122	0.210523	0.208847	0.208091	0.201847	0.201142	0.194447	0.204052	0.203973	0.196603	0.227078	0.301724	0.339613	0.081565	0.157948	0.025856
0.065462	0.088958	0.013083	-0.010417	3.297911	0.261792	0.218511	0.230032	0.203686	0.217463	0.203278	0.210330	0.194134	0.210536	0.208853	0.208099	0.201850	0.201147	0.194451	0.204061	0.203975	0.196620	0.227095	0.301723	0.339554	0.081563	0.157944	0.025848
0.080023	0.088875	0.013042	-0.010667	3.297048	0.261565	0.218491	0.229971	0.203765	0.217491	0.203288	0.210329	0.194139	0.210548	0.208858	0.208104	0.201852	0.201150	0.194453	0.204070	0.203976	0.196625	0.227098	0.301703	0.339490	0.081563	0.157943	0.025831
0.094808	0.089042	0.013208	-0.010500	3.295108	0.261131	0.218245	0.229833	0.203825	0.217495	0.203301	0.210327	0.194139	0.210554	0.208857	0.208105	0.201851	0.201151	0.194453	0.204073	0.203974	0.196616	0.227093	0.301669	0.339416	0.081563	0.157943	0.025811
0.109110	0.089000	0.013042	-0.010583	3.293991	0.261160	0.218019	0.229718	0.203874	0.217459	0.203316	0.210317	0.194134	0.210555	0.208854	0.208109	0.201850	0.201150	0.194453	0.204071	0.203975	0.196606	0.227090	0.301647	0.339378	0.081564	0.157943	0.025798
0.123735	0.088917	0.013167	-0.010500	3.292277	0.261282	0.217730	0.229520	0.203875	0.217412	0.203329	0.210301	0.194121	0.210547	0.208852	0.208113	0.201849	0.201147	0.194452	0.204066	0.203975	0.196599	0.227097	0.301636	0.339375	0.081565	0.157943	0.025791
0.138425	0.088958	0.013042	-0.010500	3.290137	0.261228	0.217401	0.229277	0.203817	0.217394	0.203332	0.210278	0.194106	0.210537	0.208852	0.208114	0.201845	0.201142	0.194452	0.204060	0.203975	0.196593	0.227104	0.301638	0.339421	0.081566	0.157943	0.025782
0.152658	0.089083	0.013167	-0.010583	3.288952	0.260787	0.217187	0.228976	0.203759	0.217411	0.203324	0.210263	0.194095	0.210528	0.208852	0.208108	0.201842	0.201136	0.194450	0.204054	0.203973	0.196588	0.227106	0.301647	0.339436	0.081566	0.157941	0.025772
0.167579	0.089083	0.013333	-0.010417	3.288699	0.260310	0.217029	0.228662	0.203685	0.217418	0.203313	0.210253	0.194091	0.210519	0.208851	0.208099	0.201840	0.201131	0.194448	0.204049	0.203969	0.196584	0.227105	0.301632	0.339401	0.081566	0.157939	0.025760
