0.006040	0.100917	0.013667	0.018292	4.702696	0.260550	0.212175	0.229271	0.203310	0.219423	0.204365	0.211464	0.195270	0.211685	0.209658	0.208886	0.202702	0.202086	0.195552	0.205280	0.205298	0.198577	0.230479	0.327765	0.372760	0.082030	0.179519	0.051610	2.059702	12.199500	35.000000	97.789635
0.020402	0.100833	0.013833	0.018375	4.702618	0.260550	0.212176	0.229270	0.203311	0.219424	0.204365	0.211465	0.195270	0.211686	0.209658	0.208886	0.202703	0.202084	0.195551	0.205279	0.205299	0.198578	0.230479	0.327767	0.372759	0.082030	0.179627	0.051591	2.059702	12.205500	35.000000	97.748985
0.035125	0.100833	0.013917	0.018417	4.702561	0.260551	0.212176	0.229270	0.203311	0.219424	0.204365	0.211466	0.195270	0.211686	0.209657	0.208886	0.202705	0.202084	0.195550	0.205278	0.205299	0.198579	0.230478	0.327769	0.372756	0.082030	0.179741	0.051575	2.059702	12.193001	35.000000	97.779472
0.049590	0.101083	0.013833	0.018333	4.702526	0.260550	0.212177	0.229271	0.203312	0.219424	0.204365	0.211466	0.195270	0.211686	0.209656	0.208885	0.202704	0.202084	0.195548	0.205278	0.205299	0.198580	0.230477	0.327771	0.372753	0.082031	0.179820	0.051567	2.059702	12.158999	35.000000	97.728661
0.064215	0.101000	0.013708	0.018375	4.702514	0.260548	0.212177	0.229273	0.203312	0.219424	0.204365	0.211465	0.195270	0.211685	0.209656	0.208885	0.202703	0.202083	0.195547	0.205278	0.205298	0.198581	0.230476	0.327772	0.372748	0.082030	0.179829	0.051568	2.059704	12.146999	35.000000	97.748985
0.078708	0.100750	0.013583	0.018333	4.702516	0.260547	0.212176	0.229274	0.203312	0.219425	0.204365	0.211464	0.195269	0.211685	0.209657	0.208884	0.202702	0.202083	0.195546	0.205279	0.205298	0.198581	0.230474	0.327775	0.372743	0.082027	0.179799	0.051571	2.059705	12.198500	35.000000	97.743904
0.093202	0.100833	0.013583	0.018292	4.702492	0.260547	0.212175	0.229275	0.203312	0.219425	0.204365	0.211463	0.195269	0.211685	0.209658	0.208884	0.202702	0.202083	0.195546	0.205280	0.205298	0.198580	0.230474	0.327778	0.372737	0.082023	0.179771	0.051571	2.059705	12.186251	35.000000	97.764229
0.108021	0.100833	0.013833	0.018625	4.702446	0.260548	0.212173	0.229274	0.203311	0.219422	0.204365	0.211463	0.195269	0.211686	0.209659	0.208883	0.202703	0.202084	0.195545	0.205281	0.205297	0.198579	0.230474	0.327780	0.372731	0.082021	0.179777	0.051562	2.059706	12.196499	35.000000	97.774391
0.122356	0.100917	0.013667	0.018417	4.702413	0.260548	0.212172	0.229273	0.203310	0.219421	0.204365	0.211464	0.195270	0.211687	0.209658	0.208883	0.202703	0.202085	0.195544	0.205282	0.205296	0.198579	0.230474	0.327783	0.372728	0.082019	0.179815	0.051552	2.059706	12.210751	35.000000	97.779472
0.137048	0.100917	0.013583	0.018542	4.702399	0.260550	0.212171	0.229273	0.203309	0.219421	0.204365	0.211464	0.195270	0.211686	0.209658	0.208884	0.202702	0.202086	0.195544	0.205283	0.205296	0.198579	0.230474	0.327786	0.372724	0.082018	0.179834	0.051544	2.059706	12.214250	35.000000	97.743904
0.151604	0.100833	0.013750	0.018458	4.702358	0.260551	0.212169	0.229272	0.203310	0.219421	0.204366	0.211463	0.195269	0.211685	0.209657	0.208884	0.202702	0.202087	0.195543	0.205284	0.205296	0.198577	0.230473	0.327789	0.372722	0.082017	0.179807	0.051543	2.059707	12.220250	35.000000	97.743904
0.165938	0.100750	0.013667	0.018333	4.702329	0.260553	0.212168	0.229271	0.203310	0.219421	0.204365	0.211463	0.195267	0.211684	0.209657	0.208885	0.202702	0.202088	0.195542	0.205285	0.205296	0.198575	0.230473	0.327791	0.372719	0.082015	0.179762	0.051549	2.059707	12.232000	35.000000	97.759148
0.180854	0.101083	0.013583	0.018542	4.702287	0.260553	0.212167	0.229270	0.203311	0.219420	0.204365	0.211462	0.195267	0.211683	0.209656	0.208886	0.202702	0.202087	0.195541	0.205286	0.205296	0.198575	0.230473	0.327795	0.372719	0.082013	0.179706	0.051556	2.059708	12.246750	35.000000	97.774391
0.195254	0.101000	0.014000	0.018333	4.702213	0.260553	0.212167	0.229268	0.203310	0.219419	0.204363	0.211462	0.195266	0.211681	0.209656	0.208885	0.202701	0.202087	0.195542	0.205286	0.205296	0.198576	0.230473	0.327799	0.372720	0.082012	0.179637	0.051566	2.059708	12.233749	35.000000	97.769310
0.209715	0.101000	0.013917	0.018500	4.702126	0.260552	0.212166	0.229267	0.203310	0.219418	0.204362	0.211462	0.195267	0.211680	0.209655	0.208884	0.202700	0.202086	0.195543	0.205286	0.205296	0.198576	0.230473	0.327803	0.372719	0.082012	0.179566	0.051579	2.059709	12.223499	35.000000	97.733742
0.224404	0.100917	0.013750	0.018417	4.702059	0.260554	0.212166	0.229267	0.203310	0.219416	0.204362	0.211463	0.195268	0.211678	0.209655	0.208884	0.202699	0.202086	0.195544	0.205285	0.205297	0.198576	0.230474	0.327807	0.372717	0.082013	0.179501	0.051594	2.059709	12.386499	35.000000	97.769310
0.238933	0.100917	0.013792	0.018417	4.701993	0.260557	0.212165	0.229266	0.203310	0.219415	0.204363	0.211463	0.195269	0.211677	0.209656	0.208883	0.202698	0.202085	0.195544	0.205284	0.205297	0.198576	0.230475	0.327809	0.372714	0.082012	0.179465	0.051609	2.059709	12.573750	35.000000	97.784554
